movie_ID,actors
tt0187268,Lúcia Del Rey
tt0187268,Martins Filho
tt0187268,Yola Maia
tt0187268,Sílvio Navas
tt0187268,Darcy Silva
tt0187268,Américo Taricano
tt0201078,Rodolfo Arena
tt0201078,Milton Moraes
tt0201078,Paulo Villaça
tt0201078,Roberto Bonfim
tt0201078,Ausonia Bernardes
tt0201078,Angelito Melo
tt0201078,Waldir Onofre
tt0201078,Jorge Gomes
tt0201078,Noemi de Andrade
tt0201078,Waldemar De Souza
tt0201078,Maria Lúcia Godoy
tt0201078,Gonzaguinha
tt0201078,Guarabyra
tt0201078,Roberto Faria Mendes
tt0201078,Waldetá
tt0193662,Stepan Nercessian
tt0193662,Françoise Forton
tt0193662,Lula
tt0193662,Simone Malaguti
tt0193662,Francisco Dantas
tt0193662,Neila Tavares
tt0193662,Antônio Victor
tt0193662,Ana Maria Marques
tt0193662,Pichin Plá
tt0193662,Angela Pires
tt0193662,Maria Teresa Barroso
tt0193662,Dilo Gonzaga
tt0193662,Dylmo Elias
tt0193662,Lia Renée
tt0193662,Eunice Cox
tt0193662,Victoria Régia
tt0193662,Denoy de Oliveira
tt0193662,Carlos Rodrigues
tt0193662,Irene Moura
tt0193662,Myrian Lydia
tt0193662,Max Gruenbaum
tt0193662,Ivo Barbieri
tt0193662,Odete Lemos
tt0193662,Neide Siqueira
tt0139374,Renato Aragão
tt0139374,Sueli Fernandes
tt0139374,Dedé Santana
tt0139374,Dino Santana
tt0139374,Dick Danello
tt0139374,Tuska
tt0139374,Giovana Ruggier
tt0139374,Gracinda Fernandes
tt0139374,Carlos Bucka
tt0139374,Roberto Bataglin
tt0139374,Martim Francisco
tt0139374,Berta Loran
tt0197257,Jorge Bodanzky
tt0197257,Letácio Camargo
tt0197257,Maurice Capovilla
tt0197257,José Carlos Cardoso
tt0197257,Francis Cavalcanti
tt0197257,Zilda Cheneme
tt0197257,Maurício do Valle
tt0197257,Maria Joaquina Fernandes
tt0197257,Bill Foster
tt0197257,Wanderley Grilo
tt0197257,Ney Latorraca
tt0197257,Marco Antônio Lellis
tt0197257,José Mojica Marins
tt0197257,Julia Miranda
tt0197257,Sílvio Navas
tt0197257,Palito
tt0197257,Maria Cristina Rocha
tt0197257,Wanda Rocha
tt0197257,Sabrina
tt0197257,Rogério Sganzerla
tt0197257,Dirceu Soares
tt0197257,Teresa Sodré
tt0197257,Gilberto Sálvio
tt0197257,Cléo Ventura
tt0197257,Maria Vicente
tt0182081,Carlo Mossy
tt0182081,Leila Santos
tt0182081,José Augusto Branco
tt0182081,José Wilker
tt0182081,Lúcia Alves
tt0182081,Dinorah Brillanti
tt0182081,André José Adler
tt0182081,José Ary
tt0182081,Danilo Augusto
tt0182081,Ed Lincoln
tt0182081,Arthur Maia
tt0182081,Paulo Roberto
tt0182081,Antônio Victor
tt0329353,Jane Batista
tt0329353,Xandó Batista
